id,class,user,n_markers,x_mean,x_std,x_min,x_max,y_mean,y_std,y_min,y_max,z_mean,z_std,z_min,z_max,l_mean,l_std,l_min,l_max,ang_mean,ang_std,ang_min,ang_max,area_mean,area_std,area_min,area_max,conv_hull_vol,conv_hull_cx,conv_hull_cy,conv_hull_cz
1817,1,0,5,62.6119,18.6667,35.0265,89.998,58.8676,27.0731,13.7954,88.6773,-65.437,10.1604,-75.6123,-48.2191,112.5952,13.2142,93.4587,134.2059,2.7135,0.2008,2.3091,2.9683,2473.3725,882.3461,1268.5749,3692.5389,34441.7165,52.1766,49.0564,-54.5309
6202,4,0,7,17.2873,22.3129,-14.6641,48.7805,88.1109,36.0794,34.8962,137.1763,-63.653,17.2323,-95.5137,-41.863,116.0158,27.4036,83.9743,159.59,2.6941,0.2558,2.2259,3.1253,2613.4205,1450.8715,133.9453,5951.4705,97543.7178,16.566,78.9089,-54.6003
7803,5,0,10,39.3647,32.7359,-14.2007,79.0449,95.2577,31.7044,27.2145,132.0252,-40.9772,35.8338,-96.0975,7.8203,123.7143,18.9309,95.5213,160.3723,2.4965,0.3027,1.8058,3.0056,4253.2122,1568.8352,1152.3477,6769.0675,379465.8371,35.7861,86.5979,-37.252
4656,3,0,5,62.8251,10.7812,47.9314,77.6434,73.5859,40.2979,15.5045,135.4081,-58.154,16.2511,-71.7854,-33.9163,119.9536,18.951,93.2153,150.0141,2.6421,0.2465,2.1777,2.9695,3271.8714,1510.8484,1258.217,5743.003,43550.6133,52.3542,61.3216,-48.4616
6714,4,0,6,28.453,18.623,-4.137,52.9501,99.0914,31.3517,56.9018,140.254,-52.1653,13.7443,-69.9139,-32.0156,118.6009,28.3259,84.7612,159.4797,2.8033,0.1891,2.4179,3.1176,2052.6016,905.8526,195.7006,3562.4555,39206.6339,23.0323,83.3103,-46.0025
5831,4,0,7,21.0871,23.7245,-13.3006,52.5362,86.6991,35.8109,31.5541,134.5776,-64.9397,17.8248,-98.6884,-43.6677,116.5862,27.3721,84.174,159.2265,2.6877,0.265,2.2112,3.1173,2668.9378,1524.5059,199.4125,6231.1779,104898.8744,20.3772,77.0174,-56.051
6786,4,0,6,26.97,18.7905,-5.4954,51.6198,99.5096,30.1004,58.2525,138.6324,-52.16,13.7197,-72.5319,-31.8154,118.325,28.2269,84.9057,158.9851,2.82,0.1829,2.4257,3.1135,1952.351,878.3086,227.4401,3451.7952,27465.4836,21.6879,83.8485,-45.7876
1410,1,0,6,42.3782,34.6921,-9.2094,88.5305,79.2462,14.2589,50.0191,92.3042,-50.4132,16.152,-68.8976,-26.6966,109.8511,14.7596,87.9573,134.8501,2.643,0.2644,2.1227,2.9934,2705.0992,1225.2319,921.8408,4690.7017,28426.8734,36.3242,67.9253,-43.2113
8536,5,0,10,43.0034,28.5293,-18.4913,77.051,100.1749,33.5443,28.0216,137.1767,-43.2979,32.3394,-93.1749,6.9227,128.0399,18.7022,93.7972,161.1399,2.5599,0.2792,1.912,2.999,4150.8288,1521.5637,1205.8165,6823.9133,354397.8563,41.6862,87.4321,-39.9505
5010,3,0,5,65.3104,8.7486,56.2447,78.8635,71.5183,39.9187,14.3708,133.3256,-60.4072,17.1186,-74.5271,-35.5093,120.9103,19.3165,93.9414,151.729,2.6547,0.2416,2.2008,2.9738,3244.5932,1506.3697,1245.0839,5758.4791,41081.6577,54.4253,59.5986,-50.3393
